Country,nx_bipartite_weight_deg
CHN,12389736.1408041
ERI,3242.7742805140006
TUN,33987.603126783
EST,20080.262033092
MDV,2138.4926705842004
CPV,1148.479911502
BFA,28984.431715832998
SGP,58403.99652784201
ALB,6153.321434786
GRD,385.088960977
ESP,301818.349496763
LBR,15691.904605881004
PRT,63956.57170909998
PYF,941.5347990993
TLS,837.8311012260001
EGY,283068.45472147793
PHL,236539.098178073
NIC,13285.299677101
SVN,18323.008265518005
NPL,64979.11982844099
LUX,10647.211788714001
ZWE,45146.571907174
PRK,63232.973823791
TUR,446394.70509886206
SEN,18378.55019065399
HKG,43743.100972702996
SLE,11179.656392859
MLI,18783.864437621003
KNA,312.390489617
CMR,37773.892383177
DMA,260.65425694199996
MNG,23968.382477506002
BLZ,2484.025746428
MWI,14918.559214032997
NZL,43728.594914165005
CYM,936.693207109
TTO,32630.066312384
BLR,69994.480261309
GTM,59397.360914226985
COL,129443.315981488
WSM,416.09269114449995
IDN,900561.7136114499
CAF,3668.2663110260005
REU,2963.1008338390006
MRT,7743.887186359
BRN,7350.617067662999
ITA,391244.21375829
NER,16207.758633466
AUT,96260.74927048701
SLV,12197.630105641
SOM,25853.296912346
SDN,65949.634592524
GLP,2060.099747937
PNG,12193.505436279003
FLK,61.106631358
DNK,47119.71725996499
GUF,1953.869647529
FRA,400103.9443675799
SYC,996.0977936159999
AIR,617763.2293
GNB,4774.537193301001
GAB,21301.863578001998
ROU,101935.10546076002
VCT,304.0206807780001
BRB,2083.346710838
COK,104.63626421834
IRL,39425.650589427
ISL,3320.8559936739994
FIN,102637.55542229998
MDG,32364.791965118995
ECU,48940.139564029
KOR,667677.196075174
NLD,177204.80568298203
AGO,51343.735531832994
ANT,2210.5196481680005
BRA,1258195.5974366402
HRV,24694.940707996
IRQ,184164.36412981607
UGA,88331.47687352501
GRC,68275.35668925002
DOM,35363.30983773301
ARG,272683.39540435
AFG,12215.717086045199
LSO,4295.159573658999
COM,874.2168880039999
USA,5647252.305011299
ATG,846.7415873169999
POL,351794.17482839996
QAT,105385.22293494003
AZE,37411.685023203005
ABW,1404.7051234798
GUY,4532.724140873
BGD,162375.23950596206
MLT,1764.906439743
NOR,50340.707522697994
PLW,1268.1687027029998
IRN,672033.5760164538
GHA,37153.644628698
LKA,46181.044644423004
BOL,32756.355169091
UKR,224820.32998295
IND,3645443.56588144
CAN,689321.0436147
YEM,12840.573918135999
PAK,421235.94915708806
BEN,18596.362917088
CHE,46352.03012573099
GEO,12771.201870524998
HUN,64458.010501097
TCD,16257.893543355996
DEU,810809.5359979599
GBR,420615.21313528
CUB,47314.75113049899
SPM,108.59102291900001
COD,86300.93900076198
SWE,109643.108830923
NGA,601946.39251665
THA,528776.7010826411
CZE,122516.10913841105
MMR,112749.40247443401
ESH,232.81354263199998
CHL,135903.96797276498
BHR,36748.103945899
SWZ,9094.333855148998
VUT,314.46492132563
CYP,7587.184263727
STP,332.6251243944001
AUS,471567.2103498401
MTQ,2141.8582332479996
CIV,35788.183443668
MAR,78052.41780250799
KGZ,10787.352096030003
RUS,1917831.1182467
BGR,53065.142029489
KIR,76.34846363429001
BHS,4633.037989654001
LBN,28485.184574115996
URY,22687.252880124
BTN,7340.676896141499
HND,21324.791786015
KWT,96707.91672823699
TWN,282206.1375393121
SAU,577910.2750800439
NAM,5597.768678216
ZMB,35725.327085821
COG,12993.886916491
KHM,50623.688647698
VGB,208.32619069499998
ZAF,520574.3104467609
MEX,554763.416028536
GNQ,6757.417933757999
BIH,28082.983964832005
BEL,113578.89841822004
ARE,199501.782294644
PAN,15909.856430537997
GMB,1824.752992042
PER,78929.28119826502
PRY,27688.008013467002
RWA,9110.441853502
FRO,1.957118446
VEN,125210.46248559302
TJK,9935.163568236
TON,165.42835662757
OMN,86480.81352642602
DZA,178079.886421466
ISR,64853.032206721015
GIN,25075.48092124
JPN,1196838.75245043
TGO,10027.036429905
GIB,717.319858173
BDI,10259.091787825
JOR,25550.679169400006
GRL,533.305812254
SUR,2895.434701532
SVK,43384.45498658401
LBY,60416.11744230301
JAM,9682.175545565
MOZ,36690.169787874
LAO,34197.338190301
SCG,66350.05833442
MUS,5460.946442737999
LCA,838.9081845560002
BWA,9460.722213672
MAC,2587.6465857201997
KAZ,227203.04631254598
MKD,9540.603598206011
ETH,200483.07671663805
UZB,124153.45870067998
PRI,1245.2269619560002
VNM,443598.625772473
MYS,276691.017719172
SEA,685590.3523512
SYR,28827.090678717002
TKM,75965.71842650298
ARM,6730.649657833998
SLB,456.68240027802
LTU,21153.388404402995
LVA,15466.527796880002
MDA,12323.016883534003
HTI,15968.564551805
FJI,3266.0779193917992
TZA,88201.920454794
AIA,27.579993128999998
DJI,1285.4243543370003
CRI,15071.269862606001
NCL,5425.1332061214
KEN,80197.98815566802
TCA,279.03350273099994
BMU,892.252817492
SHN,16.909452756
